aaaGene	BHI_ERR1801014
DNPH1	132
GPFGEMDG_00001	0
GPFGEMDG_00008	0
GPFGEMDG_00009	0
GPFGEMDG_00012	246
GPFGEMDG_00014	0
GPFGEMDG_00017	3495
GPFGEMDG_00018	0
GPFGEMDG_00019	1135
GPFGEMDG_00022	0
GPFGEMDG_00027	0
GPFGEMDG_00029	346
GPFGEMDG_00030	0
GPFGEMDG_00032	0
GPFGEMDG_00033	0
GPFGEMDG_00034	535
GPFGEMDG_00035	589
GPFGEMDG_00036	1264
GPFGEMDG_00037	1
GPFGEMDG_00038	118
GPFGEMDG_00039	1414
GPFGEMDG_00041	139
GPFGEMDG_00043	261
GPFGEMDG_00044	240
GPFGEMDG_00045	0
GPFGEMDG_00046	0
GPFGEMDG_00048	901
GPFGEMDG_00049	960
GPFGEMDG_00050	211
GPFGEMDG_00051	0
GPFGEMDG_00052	1644
GPFGEMDG_00053	0
GPFGEMDG_00054	5231
GPFGEMDG_00055	599
GPFGEMDG_00056	585
GPFGEMDG_00057	0
GPFGEMDG_00063	0
GPFGEMDG_00071	194
GPFGEMDG_00072	2112
GPFGEMDG_00076	0
GPFGEMDG_00077	0
GPFGEMDG_00083	7762
GPFGEMDG_00084	0
GPFGEMDG_00087	0
GPFGEMDG_00092	0
GPFGEMDG_00094	0
GPFGEMDG_00095	4126
GPFGEMDG_00100	0
GPFGEMDG_00101	4511
GPFGEMDG_00102	2505
GPFGEMDG_00103	3090
GPFGEMDG_00104	0
GPFGEMDG_00106	403
GPFGEMDG_00111	1893
GPFGEMDG_00112	0
GPFGEMDG_00114	60
GPFGEMDG_00115	0
GPFGEMDG_00116	0
GPFGEMDG_00117	0
GPFGEMDG_00122	91
GPFGEMDG_00125	250
GPFGEMDG_00128	0
GPFGEMDG_00129	465
GPFGEMDG_00131	2584
GPFGEMDG_00136	67
GPFGEMDG_00137	0
GPFGEMDG_00144	0
GPFGEMDG_00145	0
GPFGEMDG_00146	0
GPFGEMDG_00147	0
GPFGEMDG_00169	876
GPFGEMDG_00170	1159
GPFGEMDG_00171	0
GPFGEMDG_00173	0
GPFGEMDG_00174	1965
GPFGEMDG_00179	1199
GPFGEMDG_00180	1914
GPFGEMDG_00186	3865
GPFGEMDG_00190	0
GPFGEMDG_00191	0
GPFGEMDG_00192	178
GPFGEMDG_00193	857
GPFGEMDG_00194	0
GPFGEMDG_00195	931
GPFGEMDG_00201	0
GPFGEMDG_00204	70
GPFGEMDG_00205	779
GPFGEMDG_00206	0
GPFGEMDG_00208	0
GPFGEMDG_00209	0
GPFGEMDG_00212	84
GPFGEMDG_00213	0
GPFGEMDG_00214	660
