aaaGene	Serum_ERR1801007
DNPH1	480
GPFGEMDG_00001	0
GPFGEMDG_00008	0
GPFGEMDG_00009	0
GPFGEMDG_00012	207
GPFGEMDG_00014	0
GPFGEMDG_00017	1822
GPFGEMDG_00018	0
GPFGEMDG_00019	546
GPFGEMDG_00022	0
GPFGEMDG_00027	0
GPFGEMDG_00029	508
GPFGEMDG_00030	55
GPFGEMDG_00032	0
GPFGEMDG_00033	218
GPFGEMDG_00034	978
GPFGEMDG_00035	700
GPFGEMDG_00036	1527
GPFGEMDG_00037	170
GPFGEMDG_00038	417
GPFGEMDG_00039	2135
GPFGEMDG_00041	11
GPFGEMDG_00043	706
GPFGEMDG_00044	0
GPFGEMDG_00045	0
GPFGEMDG_00046	0
GPFGEMDG_00048	1341
GPFGEMDG_00049	2070
GPFGEMDG_00050	195
GPFGEMDG_00051	0
GPFGEMDG_00052	1900
GPFGEMDG_00053	0
GPFGEMDG_00054	7844
GPFGEMDG_00055	964
GPFGEMDG_00056	352
GPFGEMDG_00057	0
GPFGEMDG_00063	0
GPFGEMDG_00071	417
GPFGEMDG_00072	3563
GPFGEMDG_00076	220
GPFGEMDG_00077	0
GPFGEMDG_00083	5922
GPFGEMDG_00084	0
GPFGEMDG_00087	16
GPFGEMDG_00092	0
GPFGEMDG_00094	140
GPFGEMDG_00095	9560
GPFGEMDG_00100	0
GPFGEMDG_00101	8143
GPFGEMDG_00102	4806
GPFGEMDG_00103	4216
GPFGEMDG_00104	95
GPFGEMDG_00106	1388
GPFGEMDG_00111	3153
GPFGEMDG_00112	24
GPFGEMDG_00114	338
GPFGEMDG_00115	0
GPFGEMDG_00116	0
GPFGEMDG_00117	0
GPFGEMDG_00122	116
GPFGEMDG_00125	1097
GPFGEMDG_00128	0
GPFGEMDG_00129	328
GPFGEMDG_00131	788
GPFGEMDG_00136	374
GPFGEMDG_00137	0
GPFGEMDG_00144	0
GPFGEMDG_00145	0
GPFGEMDG_00146	0
GPFGEMDG_00147	0
GPFGEMDG_00169	1302
GPFGEMDG_00170	816
GPFGEMDG_00171	62
GPFGEMDG_00173	0
GPFGEMDG_00174	1901
GPFGEMDG_00179	1734
GPFGEMDG_00180	1149
GPFGEMDG_00186	2742
GPFGEMDG_00190	73
GPFGEMDG_00191	0
GPFGEMDG_00192	534
GPFGEMDG_00193	666
GPFGEMDG_00194	0
GPFGEMDG_00195	112
GPFGEMDG_00201	0
GPFGEMDG_00204	57
GPFGEMDG_00205	893
GPFGEMDG_00206	0
GPFGEMDG_00208	0
GPFGEMDG_00209	0
GPFGEMDG_00212	105
GPFGEMDG_00213	0
GPFGEMDG_00214	1148
GPFGEMDG_00226	132
GPFGEMDG_00229	0
GPFGEMDG_00231	12180
GPFGEMDG_00233	1118
GPFGEMDG_00237	0
GPFGEMDG_00238	4972
GPFGEMDG_00240	55
GPFGEMDG_00241	4299
GPFGEMDG_00246	0
GPFGEMDG_00252	2907
GPFGEMDG_00255	687
GPFGEMDG_00256	0
GPFGEMDG_00259	816
GPFGEMDG_00260	678
GPFGEMDG_00261	0
GPFGEMDG_00262	1392
GPFGEMDG_00265	0
GPFGEMDG_00269	105
GPFGEMDG_00271	633
GPFGEMDG_00272	0
GPFGEMDG_00273	0
GPFGEMDG_00274	0
GPFGEMDG_00275	296
GPFGEMDG_00277	1849
GPFGEMDG_00278	202
GPFGEMDG_00283	0
GPFGEMDG_00284	0
GPFGEMDG_00285	0
GPFGEMDG_00286	172
GPFGEMDG_00288	416
GPFGEMDG_00289	0
GPFGEMDG_00290	47
GPFGEMDG_00291	0
