aaaGene	Human_ERR1801010
DNPH1	0
GPFGEMDG_00001	0
GPFGEMDG_00008	0
GPFGEMDG_00009	0
GPFGEMDG_00012	0
GPFGEMDG_00014	0
GPFGEMDG_00017	3185
GPFGEMDG_00018	0
GPFGEMDG_00019	631
GPFGEMDG_00022	0
GPFGEMDG_00027	0
GPFGEMDG_00029	433
GPFGEMDG_00030	0
GPFGEMDG_00032	0
GPFGEMDG_00033	528
GPFGEMDG_00034	242
GPFGEMDG_00035	600
GPFGEMDG_00036	121
GPFGEMDG_00037	2
GPFGEMDG_00038	74
GPFGEMDG_00039	2008
GPFGEMDG_00041	617
GPFGEMDG_00043	0
GPFGEMDG_00044	0
GPFGEMDG_00045	0
GPFGEMDG_00046	0
GPFGEMDG_00048	306
GPFGEMDG_00049	1734
GPFGEMDG_00050	0
GPFGEMDG_00051	0
GPFGEMDG_00052	1567
GPFGEMDG_00053	0
GPFGEMDG_00054	6155
GPFGEMDG_00055	359
GPFGEMDG_00056	465
GPFGEMDG_00057	1
GPFGEMDG_00063	0
GPFGEMDG_00071	152
GPFGEMDG_00072	1167
GPFGEMDG_00076	0
GPFGEMDG_00077	0
GPFGEMDG_00083	11150
GPFGEMDG_00084	0
GPFGEMDG_00087	0
GPFGEMDG_00092	0
GPFGEMDG_00094	0
GPFGEMDG_00095	4538
GPFGEMDG_00100	0
GPFGEMDG_00101	4260
GPFGEMDG_00102	2344
GPFGEMDG_00103	3089
GPFGEMDG_00104	0
GPFGEMDG_00106	975
GPFGEMDG_00111	2828
GPFGEMDG_00112	0
GPFGEMDG_00114	508
GPFGEMDG_00115	0
GPFGEMDG_00116	0
GPFGEMDG_00117	0
GPFGEMDG_00122	0
GPFGEMDG_00125	2953
GPFGEMDG_00128	0
GPFGEMDG_00129	123
GPFGEMDG_00131	1192
GPFGEMDG_00136	160
GPFGEMDG_00137	0
GPFGEMDG_00144	0
GPFGEMDG_00145	0
GPFGEMDG_00146	0
GPFGEMDG_00147	0
GPFGEMDG_00169	0
GPFGEMDG_00170	1029
GPFGEMDG_00171	0
GPFGEMDG_00173	0
GPFGEMDG_00174	1334
GPFGEMDG_00179	1124
GPFGEMDG_00180	1294
GPFGEMDG_00186	2937
GPFGEMDG_00190	0
GPFGEMDG_00191	0
GPFGEMDG_00192	332
GPFGEMDG_00193	1136
GPFGEMDG_00194	0
GPFGEMDG_00195	737
GPFGEMDG_00201	0
GPFGEMDG_00204	0
GPFGEMDG_00205	768
GPFGEMDG_00206	0
GPFGEMDG_00208	0
GPFGEMDG_00209	0
GPFGEMDG_00212	0
GPFGEMDG_00213	0
GPFGEMDG_00214	655
GPFGEMDG_00226	0
GPFGEMDG_00229	0
GPFGEMDG_00231	6282
GPFGEMDG_00233	1159
GPFGEMDG_00237	0
GPFGEMDG_00238	2960
GPFGEMDG_00240	0
GPFGEMDG_00241	1311
GPFGEMDG_00246	0
GPFGEMDG_00252	1323
GPFGEMDG_00255	414
GPFGEMDG_00256	0
GPFGEMDG_00259	617
GPFGEMDG_00260	662
GPFGEMDG_00261	0
GPFGEMDG_00262	2136
GPFGEMDG_00265	0
GPFGEMDG_00269	0
GPFGEMDG_00271	0
GPFGEMDG_00272	0
GPFGEMDG_00273	0
GPFGEMDG_00274	0
GPFGEMDG_00275	146
GPFGEMDG_00277	2196
GPFGEMDG_00278	0
GPFGEMDG_00283	0
GPFGEMDG_00284	0
GPFGEMDG_00285	0
GPFGEMDG_00286	317
GPFGEMDG_00288	4
GPFGEMDG_00289	0
GPFGEMDG_00290	0
GPFGEMDG_00291	0
GPFGEMDG_00292	1487
GPFGEMDG_00293	334
GPFGEMDG_00294	347
GPFGEMDG_00295	0
GPFGEMDG_00296	188
GPFGEMDG_00297	0
GPFGEMDG_00298	1556
GPFGEMDG_00299	0
GPFGEMDG_00300	0
GPFGEMDG_00301	0
GPFGEMDG_00305	0
GPFGEMDG_00306	0
GPFGEMDG_00307	0
GPFGEMDG_00308	0
GPFGEMDG_00312	0
GPFGEMDG_00315	0
GPFGEMDG_00317	0
GPFGEMDG_00318	0
GPFGEMDG_00321	241
GPFGEMDG_00322	0
GPFGEMDG_00324	610
GPFGEMDG_00326	7654
GPFGEMDG_00332	0
GPFGEMDG_00335	0
GPFGEMDG_00348	0
GPFGEMDG_00349	0
GPFGEMDG_00351	0
GPFGEMDG_00352	0
GPFGEMDG_00354	6911
GPFGEMDG_00355	433
GPFGEMDG_00362	0
GPFGEMDG_00363	0
GPFGEMDG_00364	0
GPFGEMDG_00365	0
GPFGEMDG_00366	1840
GPFGEMDG_00368	1210
GPFGEMDG_00377	312
GPFGEMDG_00378	3804
GPFGEMDG_00379	0
GPFGEMDG_00381	0
GPFGEMDG_00382	0
GPFGEMDG_00387	638
GPFGEMDG_00391	0
GPFGEMDG_00398	0
GPFGEMDG_00399	0
GPFGEMDG_00403	1171
GPFGEMDG_00405	0
GPFGEMDG_00406	0
GPFGEMDG_00417	0
GPFGEMDG_00418	0
GPFGEMDG_00419	0
GPFGEMDG_00420	0
GPFGEMDG_00426	0
GPFGEMDG_00427	186
GPFGEMDG_00431	0
GPFGEMDG_00432	3722
GPFGEMDG_00433	0
GPFGEMDG_00434	0
GPFGEMDG_00436	3584
GPFGEMDG_00437	0
GPFGEMDG_00438	0
GPFGEMDG_00439	0
GPFGEMDG_00440	456
GPFGEMDG_00445	0
GPFGEMDG_00452	0
GPFGEMDG_00456	0
GPFGEMDG_00460	1
GPFGEMDG_00461	0
GPFGEMDG_00463	824
GPFGEMDG_00464	0
GPFGEMDG_00465	8278
GPFGEMDG_00466	1034
GPFGEMDG_00467	1
GPFGEMDG_00468	0
GPFGEMDG_00469	0
GPFGEMDG_00471	2307
GPFGEMDG_00515	0
GPFGEMDG_00516	0
GPFGEMDG_00532	303
GPFGEMDG_00533	1360
GPFGEMDG_00534	0
GPFGEMDG_00535	0
GPFGEMDG_00536	358
GPFGEMDG_00537	354
GPFGEMDG_00538	0
GPFGEMDG_00539	0
GPFGEMDG_00540	0
GPFGEMDG_00541	0
GPFGEMDG_00544	241
GPFGEMDG_00546	1202
GPFGEMDG_00557	0
GPFGEMDG_00563	0
GPFGEMDG_00564	0
GPFGEMDG_00570	0
GPFGEMDG_00572	1000
GPFGEMDG_00596	604
GPFGEMDG_00598	0
GPFGEMDG_00599	0
GPFGEMDG_00601	322
GPFGEMDG_00602	0
GPFGEMDG_00606	0
GPFGEMDG_00610	1844
GPFGEMDG_00615	581
GPFGEMDG_00628	0
GPFGEMDG_00632	0
GPFGEMDG_00633	53
GPFGEMDG_00634	0
GPFGEMDG_00636	0
GPFGEMDG_00641	987
GPFGEMDG_00644	0
GPFGEMDG_00646	659
GPFGEMDG_00647	0
GPFGEMDG_00649	914
GPFGEMDG_00650	1032
GPFGEMDG_00651	0
GPFGEMDG_00652	0
