aaaGene	Human_ERR1801009
DNPH1	0
GPFGEMDG_00001	0
GPFGEMDG_00008	0
GPFGEMDG_00009	0
GPFGEMDG_00012	160
GPFGEMDG_00014	0
GPFGEMDG_00017	2078
GPFGEMDG_00018	0
GPFGEMDG_00019	725
GPFGEMDG_00022	0
GPFGEMDG_00027	0
GPFGEMDG_00029	554
GPFGEMDG_00030	0
GPFGEMDG_00032	0
GPFGEMDG_00033	0
GPFGEMDG_00034	1784
GPFGEMDG_00035	375
GPFGEMDG_00036	1681
GPFGEMDG_00037	129
GPFGEMDG_00038	687
GPFGEMDG_00039	2359
GPFGEMDG_00041	376
GPFGEMDG_00043	473
GPFGEMDG_00044	73
GPFGEMDG_00045	0
GPFGEMDG_00046	0
GPFGEMDG_00048	545
GPFGEMDG_00049	1283
GPFGEMDG_00050	72
GPFGEMDG_00051	0
GPFGEMDG_00052	1827
GPFGEMDG_00053	0
GPFGEMDG_00054	10385
GPFGEMDG_00055	1165
GPFGEMDG_00056	184
GPFGEMDG_00057	2
GPFGEMDG_00063	0
GPFGEMDG_00071	175
GPFGEMDG_00072	3503
GPFGEMDG_00076	0
GPFGEMDG_00077	0
GPFGEMDG_00083	9972
GPFGEMDG_00084	0
GPFGEMDG_00087	68
GPFGEMDG_00092	0
GPFGEMDG_00094	150
GPFGEMDG_00095	8787
GPFGEMDG_00100	0
GPFGEMDG_00101	6143
GPFGEMDG_00102	3876
GPFGEMDG_00103	4752
GPFGEMDG_00104	64
GPFGEMDG_00106	2371
GPFGEMDG_00111	2749
GPFGEMDG_00112	0
GPFGEMDG_00114	0
GPFGEMDG_00115	154
GPFGEMDG_00116	0
GPFGEMDG_00117	0
GPFGEMDG_00122	0
GPFGEMDG_00125	963
GPFGEMDG_00128	0
GPFGEMDG_00129	463
GPFGEMDG_00131	2621
GPFGEMDG_00136	351
GPFGEMDG_00137	0
GPFGEMDG_00144	0
GPFGEMDG_00145	0
GPFGEMDG_00146	0
GPFGEMDG_00147	0
GPFGEMDG_00169	1282
GPFGEMDG_00170	1703
GPFGEMDG_00171	0
GPFGEMDG_00173	0
GPFGEMDG_00174	1503
GPFGEMDG_00179	800
GPFGEMDG_00180	1232
GPFGEMDG_00186	4033
GPFGEMDG_00190	0
GPFGEMDG_00191	0
GPFGEMDG_00192	162
GPFGEMDG_00193	175
GPFGEMDG_00194	68
GPFGEMDG_00195	363
GPFGEMDG_00201	0
GPFGEMDG_00204	0
GPFGEMDG_00205	454
GPFGEMDG_00206	1
GPFGEMDG_00208	0
GPFGEMDG_00209	0
GPFGEMDG_00212	0
GPFGEMDG_00213	0
GPFGEMDG_00214	1175
GPFGEMDG_00226	1
GPFGEMDG_00229	0
GPFGEMDG_00231	10540
GPFGEMDG_00233	1311
GPFGEMDG_00237	0
GPFGEMDG_00238	3668
GPFGEMDG_00240	262
GPFGEMDG_00241	4860
GPFGEMDG_00246	0
GPFGEMDG_00252	2893
GPFGEMDG_00255	377
GPFGEMDG_00256	0
GPFGEMDG_00259	888
GPFGEMDG_00260	568
GPFGEMDG_00261	0
GPFGEMDG_00262	1880
GPFGEMDG_00265	0
GPFGEMDG_00269	215
GPFGEMDG_00271	771
GPFGEMDG_00272	0
GPFGEMDG_00273	0
GPFGEMDG_00274	0
GPFGEMDG_00275	275
GPFGEMDG_00277	3825
GPFGEMDG_00278	152
GPFGEMDG_00283	0
GPFGEMDG_00284	119
GPFGEMDG_00285	0
GPFGEMDG_00286	1
GPFGEMDG_00288	0
GPFGEMDG_00289	0
GPFGEMDG_00290	0
GPFGEMDG_00291	0
GPFGEMDG_00292	2112
GPFGEMDG_00293	1140
GPFGEMDG_00294	304
GPFGEMDG_00295	0
GPFGEMDG_00296	71
GPFGEMDG_00297	160
GPFGEMDG_00298	333
GPFGEMDG_00299	0
GPFGEMDG_00300	0
GPFGEMDG_00301	0
GPFGEMDG_00305	168
GPFGEMDG_00306	0
GPFGEMDG_00307	0
GPFGEMDG_00308	0
GPFGEMDG_00312	0
GPFGEMDG_00315	0
GPFGEMDG_00317	0
GPFGEMDG_00318	0
GPFGEMDG_00321	303
GPFGEMDG_00322	0
GPFGEMDG_00324	358
GPFGEMDG_00326	8607
GPFGEMDG_00332	0
GPFGEMDG_00335	0
GPFGEMDG_00348	0
GPFGEMDG_00349	0
GPFGEMDG_00351	0
GPFGEMDG_00352	0
GPFGEMDG_00354	8317
GPFGEMDG_00355	930
GPFGEMDG_00362	0
GPFGEMDG_00363	0
GPFGEMDG_00364	153
GPFGEMDG_00365	0
GPFGEMDG_00366	6450
GPFGEMDG_00368	1024
GPFGEMDG_00377	0
GPFGEMDG_00378	4827
GPFGEMDG_00379	700
GPFGEMDG_00381	0
GPFGEMDG_00382	0
GPFGEMDG_00387	698
GPFGEMDG_00391	0
GPFGEMDG_00398	460
GPFGEMDG_00399	0
GPFGEMDG_00403	1625
GPFGEMDG_00405	0
GPFGEMDG_00406	0
GPFGEMDG_00417	0
GPFGEMDG_00418	0
GPFGEMDG_00419	189
GPFGEMDG_00420	0
GPFGEMDG_00426	0
GPFGEMDG_00427	278
GPFGEMDG_00431	0
GPFGEMDG_00432	3020
GPFGEMDG_00433	0
GPFGEMDG_00434	0
GPFGEMDG_00436	2310
GPFGEMDG_00437	0
GPFGEMDG_00438	113
GPFGEMDG_00439	0
GPFGEMDG_00440	425
GPFGEMDG_00445	257
GPFGEMDG_00452	0
GPFGEMDG_00456	0
GPFGEMDG_00460	1
GPFGEMDG_00461	0
GPFGEMDG_00463	389
GPFGEMDG_00464	0
GPFGEMDG_00465	12101
GPFGEMDG_00466	1301
GPFGEMDG_00467	147
GPFGEMDG_00468	0
GPFGEMDG_00469	0
GPFGEMDG_00471	1850
GPFGEMDG_00515	0
GPFGEMDG_00516	0
GPFGEMDG_00532	163
GPFGEMDG_00533	992
GPFGEMDG_00534	145
GPFGEMDG_00535	0
GPFGEMDG_00536	0
GPFGEMDG_00537	431
GPFGEMDG_00538	0
GPFGEMDG_00539	0
GPFGEMDG_00540	0
GPFGEMDG_00541	0
GPFGEMDG_00544	365
GPFGEMDG_00546	825
GPFGEMDG_00557	0
GPFGEMDG_00563	0
GPFGEMDG_00564	0
GPFGEMDG_00570	0
GPFGEMDG_00572	1047
GPFGEMDG_00596	1577
GPFGEMDG_00598	0
GPFGEMDG_00599	55
GPFGEMDG_00601	714
GPFGEMDG_00602	0
GPFGEMDG_00606	0
GPFGEMDG_00610	1000
GPFGEMDG_00615	531
GPFGEMDG_00628	0
GPFGEMDG_00632	0
GPFGEMDG_00633	136
GPFGEMDG_00634	556
GPFGEMDG_00636	299
GPFGEMDG_00641	499
GPFGEMDG_00644	0
GPFGEMDG_00646	502
GPFGEMDG_00647	69
GPFGEMDG_00649	1595
GPFGEMDG_00650	632
GPFGEMDG_00651	0
GPFGEMDG_00652	0
